date,section.name,headline.main,headline.print,headline.kicker,material,,,
1/8/2020,Opinion,Can Trump Make Foreign Policy a Democratic Campaign Issue?,Foreign Policy Should Matter to Voters,NA,Editorial,,,
9/8/2021,U.S.,Serving in a Twenty-Year War,Mission ‘Unfinished’,NA,Interactive Feature,,,
1/3/2020,World,"Suleimani’s Gone, and the Iran Nuclear Deal May Be Next",U.S. Strike May Have Dealt a Fatal Blow to Nuclear Deal,NA,News,,,
1/4/2020,World,"In Era of Perpetual Conflict, a Volatile President Grabs Expanded Powers to Make War","More Powers, Few Limits And a Volatile President",News Analysis,News Analysis,,,
1/4/2020,World,"Muslims Organize Huge Protests Across India, Challenging Modi",Huge Protests in India Keep Steadfast Pressure on Modi,NA,News,,,
2/29/2020,Opinion,A War Without Winners Winds Down,A War Without Winners Winds Down,NA,Editorial,,,
1/4/2020,World,Conflict With Iran Threatens Fight Against ISIS,"As Tehran and Washington Stare Each Other Down, ISIS Stands to Gain",NA,News,,,
12/18/2021,U.S.,Hidden Pentagon Records Reveal Patterns of Failure in Deadly Airstrikes,Hidden Files Bare Military Failures in Deadly Strikes,NA,Interactive Feature,,,
1/8/2020,U.S.,Trump’s Inaccurate Statements About the Conflict With Iran,References In Address To 2013 Deal Had Holes,Fact Check,News,,,
6/13/2020,U.S.,Trump Made Inaccurate Claims About the Military During His West Point Speech,President Exaggerates His Own Record On Funding Pentagon and Ending Wars,Fact Check,News,,,
1/6/2020,World,How U.S. Troops Are Preparing for the Worst in the Middle East,U.S. Troops Preparing for Worst in Mideast,NA,News,,,
8/20/2021,U.S.,Biden’s Inaccurate Claims in Defending Afghanistan Withdrawal,Clarifying Biden’s Take of Evacuation,Fact Check,News,,,
1/6/2020,World,Defenders of History Take Aim at Trump’s Threat to Strike Iran’s Cultural Sites,‘You Can’t Just Start Shooting Anything You Want’,NA,News,,,
3/10/2020,Opinion,Trump Isn’t Telling Us Everything About His Deal With the Taliban,Mr. Trump’s Taliban Deal Is Too Secretive ,NA,Editorial,,,
9/14/2021,U.S.,‘Lost Between Borders’: Afghan Women on the Lives They Left Behind,"Women on Loving, Fearing, and Leaving Afghanistan",in her words,News,,,
1/3/2020,U.S.,Airstrike Pushes National Security to Forefront of 2020 Race,Airstrike Pushes Foreign Policy To Front of Presidential Race,NA,News,,,
1/7/2020,World,"Iran Fires on U.S. Forces at 2 Bases in Iraq, Calling It ‘Fierce Revenge’",Iranians Attack U.S. Forces in Iraq in Act of Revenge,NA,News,,,
1/8/2020,World,"As Iran and U.S. Trade Blows, Afghanistan Sweats Between the 2 Powers",Washington-Tehran Friction Casts Spotlight on Afghanistan’s Vulnerabilities,NA,News,,,
1/8/2020,World,"At the Edge of a War, the U.S. and Iran Appear to Step Back","While Threat of War  May Have Receded, It Hasn’t Disappeared",News Analysis,News Analysis,,,
1/3/2020,U.S.,Congressional Leaders Call for Details After U.S. Airstrike on Suleimani,Majority Leader Says a Briefing for the Senate Is Scheduled for Next Week,NA,News,,,
1/4/2020,U.S.,"With Split Decision on Impeachment, Maine Democrat Risks a Dual Backlash","With Split Vote on Impeachment, Maine Democrat Risks Dual Backlash",NA,News,,,
1/8/2020,World,Iran Plane Crash Victims Came From at Least Seven Countries,Victims Included Citizens From at Least 7 Countries,NA,News,,,
1/5/2020,U.S.,"Buttigieg’s Bet: After Iran Strike, Military Experience Matters Even More","Buttigieg’s Bet: After Iran Strike, a Military Past Matters Even More",NA,News,,,
1/8/2020,World,Prince Harry and Meghan to ‘Step Back’ From Royal Duties in Extraordinary Retreat,"In Stunning Step, Duke and Duchess Seek New Title: Part-Timers",NA,News,,,
1/6/2020,U.S.,"John Bass, U.S. Envoy to Afghanistan, Steps Down on Cusp of New Peace Deal",U.S. Envoy to Afghanistan Is Stepping Down,NA,News,,,
1/6/2020,U.S.,Fox Host’s ‘America First’ Shift Makes an Exception for Trump’s Iran Strike,"Fox Host Is ‘America First,’ but Makes Exception for Trump’s Iran Strike",NA,News,,,
1/9/2020,World,Trump’s Iran Strategy: A Cease-Fire Wrapped in a Strategic Muddle,A President’s Mixed Messages Unsettle More Than Reassure,News Analysis,News Analysis,,,
1/9/2020,Magazine,Mohammed bin Zayed’s Dark Vision of the Middle East’s Future,The M.B.Z. Moment,Feature,News,,,
1/7/2020,U.S.,He Fled Iran as a Child. Now He’s Commanding a U.S. Aircraft Carrier.,He Once Fled Iran. Now He  Leads an American Crew.,NA,News,,,
1/7/2020,U.S.,"Pentagon Rules Out Striking Iranian Cultural Sites, Contradicting Trump",Pentagon Rules Out Strikes on Antiquities,NA,News,,,
1/8/2020,U.S.,"Pressed for Details on Suleimani Strike, Trump Administration Gives Few",Democrats Press for Details on Threats Cited by Trump,NA,News,,,
1/11/2020,World,Two U.S. Service Members Killed in Afghanistan,2 U.S. Service Members Killed in Afghan Bomb Blast,NA,News,,,
1/12/2020,World,A Growing U.S. Base Made This Afghan Town. Now It’s Dying.,"As U.S. Reduces Its Afghan Presence, a Once-Vital Town Is Left With Scraps",NA,News,,,
1/8/2020,U.S.,Full Transcript: President Trump’s Address on Iran,U.S. ‘Is Ready to Embrace  Peace With All Who Seek It’,NA,News,,,
1/13/2020,World,"Iran Protests Rage Over Downed Jet, as Lawmakers Demand Accountability","In Iran, Growing Indignation and a Push for Accountability",NA,News,,,
1/14/2020,World,Plan to Cut U.S. Troops in West Africa Draws Criticism From Europe,Plan to Cut U.S. Troops In West Africa Is Criticized,NA,News,,,
5/12/2020,Opinion,"No, Your FOIA Request Cannot Wait ‘Until This Emergency Is Over’",A Pandemic Shouldn’t Stifle Oversight,NA,Editorial,,,
1/8/2020,U.S.,Suleimani’s Killing Creates New Uncertainty for Trump Campaign,Iranian’s Killing Delivers Jolt of Uncertainty to Trump Campaign Strategy,NA,News,,,
7/7/2020,Opinion,Don’t Let Russian Meddling Derail Afghanistan Withdrawal Plans,Don’t Let Russia Set U.S. Afghan Policy,NA,Editorial,,,
1/16/2020,World,Taliban Offer to Reduce Violence in Afghanistan Ahead of Deal With U.S.,Taliban Offer to Reduce Violence While in Talks With U.S.,NA,News,,,
1/17/2020,Sunday Review,Trump Says the U.S. Is Ready for War. Not All His Troops Are So Sure.,"If There’s War, How Ready Is the U.S. to Fight?",NA,News Analysis,,,
1/9/2020,U.S.,Weary Veterans Exemplify a Nation Reluctant for War With Iran,"Weary of War, and Wary of Embarking on Another in the Middle East",NA,News,,,
1/10/2020,U.S.,"Army Denies Request by Soldier Pardoned by Trump, Setting Up Showdown",Pardoned Soldier Is Denied Bid to Rejoin Green Berets,NA,News,,,
1/10/2020,U.S.,Who Signs Up to Fight? Makeup of U.S. Recruits Shows Glaring Disparity,The Call to Serve Is Being Unevenly Embraced,NA,News,,,
1/22/2020,World,Trump Dismisses Troops’ Possible Brain Injuries as ‘Headaches’,President Plays Down Troops’ Injury Symptoms,NA,News,,,
1/10/2020,U.S.,Why Pete Buttigieg Has Made Religion Central to His Campaign,Why Buttigieg Places Religion In the Spotlight,NA,News,,,
1/23/2020,World,"Afghanistan Is Ready for Major U.S. Troop Reduction, Ghani Says",Afghan Leader Says His Country Is Ready for a Major U.S. Troop Reduction,NA,News,,,
1/13/2020,U.S.,Trump’s Iran Strategy May Cost Him in 2020 Election,Trump 2020? Moves on Iran Raise Doubts,NA,News,,,
1/23/2020,Magazine,The Saudi Connection: Inside the 9/11 Case That Divided the F.B.I.,The Saudi Connection,Feature,News,,,
1/24/2020,World,Europe’s Migration Crisis Has Ebbed. Croatia Wants to Keep It That Way.,A New Migrant Tide? Not if Croatia Has Its Way,NA,News,,,
1/24/2020,World,"34 Troops Have Brain Injuries From Iranian Missile Strike, Pentagon Says",34 Troops Sustained Injuries To Brain in Iranian Attack,NA,News,,,
1/25/2020,World,Girl and Her Father Are Killed by Afghan Forces,"Afghan Forces Kill a Girl, Then Her Grieving Father",NA,News,,,
1/20/2020,U.S.,Psychologist Who Waterboarded for C.I.A. to Testify at Guantánamo,Psychologist Who Used Waterboarding Will Testify at Guantánamo,NA,News,,,
1/26/2020,World,"After Losing His Legs to a Bomb, Afghan Veteran Is on a New Journey",Combating Limitations By Taking To the Road,NA,News,,,
1/27/2020,World,"U.S. Military Plane Crashed in Afghanistan, Officials Confirm",A U.S. Military Plane Crashes in a Taliban-Controlled Area of Afghanistan,NA,News,,,
1/21/2020,U.S.,Architect of C.I.A. Interrogation Program Testifies at Guantánamo Bay,A Day of Drama  At a 9/11 Hearing,NA,News,,,
1/21/2020,U.S.,Why This Texas City Is Saying Yes to Refugees While the Governor Says No,"As Governor Gets Tough on Refugees, Texas City Puts Out Welcome Mat",NA,News,,,
1/22/2020,U.S.,A New Face of White Supremacy: Plots Expose Danger of the ‘Base’,"Core of Resolute Racists, Seeking Downfall of U.S.",NA,News,,,
1/29/2020,World,"Despite Calm in Afghan Cities, War in Villages Kills Dozens Daily","Afghan Cities Turn Calm,  But Toll in Villages Is High",NA,News,,,
1/23/2020,U.S.,He Waterboarded a Detainee. Then He Had to Get the C.I.A. to Let Him Stop.,Doctor Said He Told Supervisors They Had to See Waterboarding for Themselves,NA,News,,,
1/25/2020,U.S.,Argument Erupts in Guantánamo Court Over Use of the Term ‘Torture’,Court Dispute Over Meaning Of ‘Torture’,NA,News,,,
1/28/2020,U.S.,Officials Recover Remains at U.S. Military Plane Crash Site in Afghanistan,U.S. Officials  Find Remains  At Crash Site In Afghanistan,NA,News,,,
1/31/2020,World,Taliban’s Continued Attacks Show Limits of U.S. Strategy in Afghanistan,Offensive From Taliban Shows Limits Of U.S. Effort,NA,News,,,
1/31/2020,World,"From Armed Struggle to Peaceful Protest, a Road Still to Travel",From Armed Struggle to Advocating Peaceful Protest Across the Muslim World,The Saturday Profile,News,,,
1/31/2020,World,More American Troops Sustain Brain Injuries From Iran Missile Strike in Iraq,More Troops  Added to List Of Injured  In Iraq Attack,NA,News,,,
1/31/2020,World,U.S. Strikes at Leader of Qaeda in Yemen,Qaeda Chief For Yemen Was Target Of U.S. Strike,NA,News,,,
1/28/2020,U.S.,Guantánamo Testimony Exposes Role of Doctors in C.I.A. Interrogations,Testimony Describes the Role Of Doctors in Interrogations,NA,News,,,
1/31/2020,World,State Department Warns Against Traveling to China Amid Coronavirus Outbreak,State Dept. Issues Warning On Traveling,NA,News,,,
2/1/2020,World,"Trump Threw Weighty Refugee Decisions to Local Government, With Painful Results",It’s Now Up to Municipalities: Accept Refugees or Not?,NA,News,,,
1/29/2020,U.S.,"For John Bolton, an ‘Upside-Down World’ After Trump Revelation",Views on Bolton Flip as Democrats Aim for His Testimony,NA,News,,,
1/30/2020,U.S.,"Elite U.S. Forces Critique Themselves: Overused, Underled, Raid-Obsessed",Review Faults Elite Forces’ Combat Culture,NA,News,,,
12/1/2020,Opinion,How to End a Forever War,A Responsible Exit From Afghanistan,NA,Editorial,,,
2/5/2020,World,"Afghan Votes Will Be Audited, Extending Monthslong Election Crisis","Afghanistan Audits Votes,  Extending Election Crisis",NA,News,,,
2/5/2020,World,NATO Eyes Troop Reductions in Afghanistan as U.S. Draws Down,NATO Eyes Troop Reductions in Afghanistan as the U.S. Draws Down,NA,News,,,
1/30/2020,U.S.,House Votes to Repeal 2002 Military Authorization in Bid to Rein in Trump on Iran,House Votes to Repeal Law Allowing Use of Force in Iraq,NA,News,,,
1/31/2020,U.S.,Architect of C.I.A. Torture Program Testifies Prisoners Acted Well Adjusted,C.I.A. Interrogator Says Prisoners Adjusted Well,NA,News,,,
2/7/2020,World,"Taliban Militant Flees Prison, Claiming Deal With Pakistani Security Forces",Top Official For Taliban Flees Prison In Pakistan,NA,News,,,
2/7/2020,World,The Scenic Isle Where the World’s Chaos Comes Home to Roost,"On an Island of Migrants and Locals, an Uneasy Coexistence",Greece Dispatch,News,,,
2/7/2020,World,Karen Pierce Is Named U.K. Ambassador to U.S.,Britain Names New Ambassador to U.S. at Delicate Time in Relations,NA,News,,,
2/8/2020,World,Two American Soldiers Killed in Shootout With Afghan Forces,Shootout Kills U.S. Soldiers And Afghans,NA,News,,,
2/8/2020,World,They Fight Suicide Bombers. But Can Afghan Police Fight Crime?,Afghan Police Fight Bombers. Crooks? That’s Another Story.,NA,News,,,
2/3/2020,U.S.,"Violence Must Stop Before Afghanistan Peace Agreement, Pompeo Says","Taliban Peace Talks  Resume, Pompeo Says",NA,News,,,
