date,abstract,lead.paragraph,snippet,section.name,subsection.name,news.desk,byline,headline.main,headline.print,headline.kicker,material,url,,,
12/10/2020,"At least 185 pro-government forces and 101 civilians were killed in Afghanistan in December. The Times confirmed 3,378 security-force and 1,468 civilian deaths in Afghanistan in 2020.","At least 26 pro-government forces and eight civilians were killed in Afghanistan the past week. The deadliest attack took place in Kunduz, where five pro-government militia members were killed in an insider attack in a security outpost in the Qabristanis area of Dasht-e-Archi District. The attackers joined the Taliban, taking with them the outpost’s weapons and equipment. In Wardak Province, a military convoy traveling to Jalrez District from Maidan Shar, the provincial capital, was ambushed by the Taliban in the village of Ismail Khel. Two Humvees were hit by roadside bombs during the clashes, killing four commandos and wounding three others. Local authorities claimed that three Taliban members were killed, and six others were wounded.","At least 185 pro-government forces and 101 civilians were killed in Afghanistan in December. The Times confirmed 3,378 security-force and 1,468 civilian deaths in Afghanistan in 2020.",World,Asia Pacific,Magazine,By Fahim Abed,Afghan War Casualty Report: December 2020,NA,At War,News,https://www.nytimes.com/2020/12/10/world/asia/afghan-war-casualty-december-2020.html,,,
11/5/2020,At least 244 pro-government forces and 200 civilians were killed in Afghanistan in November.,"At least 39 pro-government forces and four civilians were killed in Afghanistan the past week. The deadliest attack took place in Ghazni Province, where a military Humvee stolen by the Taliban and laden with explosives targeted a military base in Ghazni City, the provincial capital, killing 31 soldiers and wounding 24 others. The explosion was so powerful that it damaged several buildings on the base. In Zabul Province, a car bomb targeted the convoy of Atta Jan Haqbayan, the head of provincial council, killing three civilians and wounding 23 others, including Haqbayan. Afghan government and Taliban negotiators in Qatar agreed to the principles and procedures that will guide the ongoing peace negotiations between them, officials announced on Wednesday, an important move that could pave the way for talks that have been hobbled by disagreements for more than two months.",At least 244 pro-government forces and 200 civilians were killed in Afghanistan in November.,Magazine,NA,Magazine,By Fatima Faizi and Fahim Abed,Afghan War Casualty Report: November 2020,NA,at war,News,https://www.nytimes.com/2020/11/05/magazine/afghan-war-casualty-report-november-2020.html,,,
12/17/2020,"The troops are staying, but we can declare an end to our forever war.",I first read the “Iliad” in high school. The translation my teacher handed out had a single photograph on the cover: American G.I.s on D-Day storming out of a landing craft onto Omaha Beach.,"The troops are staying, but we can declare an end to our forever war.",Opinion,NA,OpEd,By Elliot Ackerman,The Afghan War Is Over. Did Anyone Notice?,Afghanistan: American ‘Iliad’?,NA,Op-Ed,https://www.nytimes.com/2020/12/17/opinion/afghanistan-war-biden.html,,,
12/27/2020,"Afghan men in an impoverished border settlement die trying to smuggle opium into Iran, leaving behind loved ones forced to survive on their own.","MIR ALI, Afghanistan — On the barren high plains of western Afghanistan, along a roadway south of Herat city, is a collection of sturdy earthen huts known as Qala-e-Biwaha, or “village of widows.”","Afghan men in an impoverished border settlement die trying to smuggle opium into Iran, leaving behind loved ones forced to survive on their own.",World,Asia Pacific,Foreign,By David Zucchino and Najim Rahim,"In a Village of Widows, the Opium Trade Has Taken a Deadly Toll",Village of Widows Scrapes By in Shadow of Afghan Opium Trade,NA,News,https://www.nytimes.com/2020/12/27/world/asia/afghanistan-iran-opium.html,,,
12/10/2020,"ISIS gunmen attacked Malalai Maiwand, a well-known TV and radio journalist, in Jalalabad. Her death is one of a string of high-profile targeted killings in Afghanistan.","JALALABAD, Afghanistan — An Afghan journalist was killed on her way to work on Thursday, marking the third fatal attack on a well-known media personality in just over a month and sowing fear in a community that came of age reporting on a country at war for decades.","ISIS gunmen attacked Malalai Maiwand, a well-known TV and radio journalist, in Jalalabad. Her death is one of a string of high-profile targeted killings in Afghanistan.",World,Asia Pacific,Foreign,By Zabihullah Ghazi and Thomas Gibbons-Neff,Afghan Journalist Is Killed in Latest Attack on Media Figures,Afghan Journalist Is Killed in Latest Attack on Media,NA,News,https://www.nytimes.com/2020/12/10/world/asia/afghanistan-journalist-malalai-maiwand.html,,,
12/16/2020,The Taliban’s recent shift to magnetic bombs to target Afghan officials in Kabul underscores the government’s struggle to protect its own people.,"KABUL, Afghanistan — As he has done most workdays, Mahbubullah Mohibi left his home on Tuesday morning in a white armored S.U.V. with government plates, bound for his office job as deputy governor for Kabul Province.",The Taliban’s recent shift to magnetic bombs to target Afghan officials in Kabul underscores the government’s struggle to protect its own people.,World,Asia Pacific,Foreign,By David Zucchino and Fahim Abed,‘Sticky Bombs’ Sow Terror and Chaos in a City on Edge,Taliban Use Lethal ‘Sticky Bombs’ Nearly Daily to Terrorize Afghans,NA,News,https://www.nytimes.com/2020/12/16/world/asia/afghanistan-magnetic-bombs.html,,,
12/8/2020,"The U.S.-led coalition seized land for hundreds of military bases, most now held by the Afghan military. Villagers have fought for years to collect compensation and to get their property back.","At harvest time, as neighbors and relatives reap their crops, 80-year-old Jamal Khan can only look in despair on the plot of land that was the source of his family’s livelihood — until the American forces arrived over a decade ago.","The U.S.-led coalition seized land for hundreds of military bases, most now held by the Afghan military. Villagers have fought for years to collect compensation and to get their property back.",World,Asia Pacific,Foreign,By Mujib Mashal and Zabihullah Ghazi,U.S. Leaves Behind Afghan Bases — and a Legacy of Land Disputes,U.S. Troops Seized Their Land. Angry Afghans Still Want It Back.,NA,News,https://www.nytimes.com/2020/12/08/world/asia/afghanistan-land-military-bases.html,,,
12/5/2020,"Also a renowned surgeon, she rose through the ranks of the Afghan Army and practiced medicine during the Soviet invasion and the Afghan civil war and under the Taliban’s rule.","KABUL, Afghanistan — Suhaila Siddiq, the first woman to hold the rank of lieutenant general in Afghanistan and a renowned surgeon who became a feminist role model in a largely patriarchal society, died here on Dec. 4 at the same hospital where she had treated the wounded through decades of war in her country. She was thought to be 81 or 82.","Also a renowned surgeon, she rose through the ranks of the Afghan Army and practiced medicine during the Soviet invasion and the Afghan civil war and under the Taliban’s rule.",World,Asia Pacific,Obits,By Fatima Faizi and Thomas Gibbons-Neff,"Suhaila Siddiq, Afghanistan’s First Female General, Is Dead","Suhaila Siddiq, General  And Doctor in Afghanistan",Those We’ve Lost,Obituary (Obit),https://www.nytimes.com/2020/12/05/world/asia/suhaila-siddiq-dead.html,,,
12/31/2020,"The unverified intelligence echoes a similar report, deemed credible by the C.I.A. but dismissed by the president, that Russian military agents had offered payments for attacks on Americans in Afghanistan.","President Trump was briefed this month about intelligence reports that China had offered to pay bounties to fighters in Afghanistan who attacked American soldiers there, but the information was uncorroborated and comes months after Mr. Trump dismissed as a “hoax” a C.I.A. assessment that Russia had paid for such attacks.","The unverified intelligence echoes a similar report, deemed credible by the C.I.A. but dismissed by the president, that Russian military agents had offered payments for attacks on Americans in Afghanistan.",U.S.,Politics,Washington,By Michael Crowley,Trump Was Briefed on Uncorroborated Intelligence About Chinese Bounties,NA,NA,News,https://www.nytimes.com/2020/12/30/us/politics/trump-chinese-bounties-briefing.html,,,
12/2/2020,"Afghan government and Taliban officials said they had finalized the terms to guide future talks, opening the door to a new phase of negotiations toward a long-term peace.","Afghan government and Taliban negotiators in Qatar have agreed to the principles and procedures that will guide the ongoing peace negotiations between them, Taliban and Afghan officials announced on Wednesday, an important move that could pave the way for talks that have been hobbled by disagreements for more than two months.","Afghan government and Taliban officials said they had finalized the terms to guide future talks, opening the door to a new phase of negotiations toward a long-term peace.",World,Asia Pacific,Foreign,By Thomas Gibbons-Neff and Fatima Faizi,Afghan and Taliban Negotiators Agree on Peace Talks’ Procedures,Afghans Agree  With Taliban  On Procedure  For Peace Talks,NA,News,https://www.nytimes.com/2020/12/02/world/asia/afghan-and-taliban-negotiators-agree-on-peace-talks-procedures.html,,,
