,Alabama Getaway,Alice D Millionaire,Alligator,Althea,Attics Of My Life,Believe It Or Not,Bertha,Bird Song,Black Muddy River,Black Peter,Black Throated Wind,Blow Away,Blues For Allah,Born Cross Eyed,Box Of Rain,Brokedown Palace,Brown Eyed Women,Built To Last,Can't Come Down,Candyman,Casey Jones,Cassidy,Caution (Do Not Stop On Tracks),Childhood's End,China Cat Sunflower,China Doll,Chinatown Shuffle,Clementine,Comes A Time,Corrina,Cosmic Charlie,Crazy Fingers,Cream Puff War,The Creeper,Cryptical Envelopment,Cumberland Blues,Dark Star,Days Between,Deal,Dire Wolf,Doin' That Rag,Don't Need Love,Down So Long,Dupree's Diamond Blues,Easy Answers,Easy To Love You,Easy Wind,The Eleven,Empty Pages,Equinox,Estimated Prophet,Eternity,Eyes Of The World,Far From Me,Feel Like A Stranger,Fire On The Mountain,Foolish Heart,France,Franklin's Tower,Friend Of The Devil,From The Heart Of Me,"Gentlemen, Start Your Engines",The Golden Road (To Unlimited Devotion),Greatest Story Ever Told,He's Gone,Heaven Help The Fool,Hell In A Bucket,Help On The Way,Here Comes Sunshine,High Time,Hollywood Cantata,I Need A Miracle,I Will Take You Home,If The Shoe Fits,If I Had The World To Give,It Must Have Been The Roses,Jack Straw,Just A Little Light,Keep Rolling By,Keep Your Day Job,King Solomon's Marbles,Lady With A Fan,Lazy Lightnin',Lazy River Road,Let Me Sing Your Blues Away,Let It Grow (aka Weather Report Suite Part 2),Liberty,Little Star,Looks Like Rain,Loose Lucy,Loser,Lost Sailor,Mason's Children,Maybe You Know,Mexicali Blues,Might As Well,Mindbender,Mission In The Rain,Mississippi Half-Step Uptown Toodleloo,Mister Charlie,Money Money,Mountains Of The Moon,The Music Never Stopped,My Brother Esau,Never Trust A Woman (aka Good Time Blues),New Potato Caboose,New Speedway Boogie,"No Left Turn Unstoned (aka The Monster, Cardboard Cowboy)",One More Saturday Night,Only A Fool (aka Break You Down),The Only Time Is Now,Operator,The Other One,Passenger,Picasso Moon,New Orleans,Pigpen Rap (Who Cares),Playing In The Band,Pride of Cucamonga,Ramble On Rose,Ruben And Cherise,Revolutionary Hamstrung Blues,Ripple,Rosemary,Row Jimmy,Sage And Spirit,Saint Of Circumstance,Saint Stephen,Salt Lake City,Samba In The Rain,Sand Castles And Glass Camels,Scarlet Begonias,Seastones,Serengetti,The Seven,Shakedown Street,Ship Of Fools,Slipknot!,So Many Roads,Stagger Lee,Stander On The Mountain,Standing On The Corner,Standing On The Moon,Stella Blue,The Stranger (Two Souls In Communion),Sugar Magnolia,Sugaree,Sunshine Daydream,Sunrise,Supplication,Tastebud,Tennessee Jed,Terrapin Flyer,Terrapin Station,Terrapin Transit,They Love Each Other,This Time Forever,Throwing Stones,Till The Morning Comes,To Lay Me Down,Tons Of Steel,Touch Of Grey,Truckin',U.S.Blues,Unbroken Chain,Uncle John's Band,Unusual Occurrences In The Desert,The Valley Road,Victim Or The Crime,Wave That Flag,Wave To The Wind,Way To Go Home,We Can Run,Weather Report Suite Prelude,Weather Report Suite Part 1,West L.A. Fadeaway,Wharf Rat,What'll You Raise,What's Become Of The Baby,The Wheel,When Push Comes To Shove,You Don't Have To Ask (aka Otis on a Shakedown Cruise),You See A Broken Heart
Eric Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
John Barlow,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bob Bralove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Andrew Charles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Dawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willie Dixon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerry Garcia,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
Donna Godchaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Godchaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerrit Graham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
