doc.id,text,date,section.name,news.desk,byline,headline.main,headline.print,material,,,
1,"“He’s a Rambo version of the same story Trump has been telling over and over: The deep state is trying to screw you, the media is bad, and the rich people don’t understand you.”",1/1/2020,Today’s Paper,Summary,NA,Quotation of the Day: Ex-SEAL Now Pitching Products and President,Quote of the Day,Quote,,,
2,"Sign up for our Watching newsletter to get recommendations on the best films and TV shows to stream and watch, delivered to your inbox.",1/2/2020,Arts,Weekend,By Mike Hale,The 50 TV Shows You Need to Watch This Winter,50 TV Shows To Watch  This Winter,News,,,
3,"At least 87 pro-government forces and 12 civilians were killed in Afghanistan during the past week, as violent incidents occurred with greater frequency after a brief lull in Taliban attacks due, in part, to cold weather. The deadliest attack took place in Baghlan Province, where an insider attack killed 18 police officers, including the unit commander. One day later, in Kunduz Province, another 13 security forces were killed when the Taliban attacked security outposts in the Dasht-e-Archi District center. Earlier in the week, six civilians in Balkh Province were killed when Afghan Air Forces bombed a house in Boqa village. Two American soldiers — Lt. Col. Paul K. Voss and Capt. Ryan S. Phaneuf — were also killed when the aircraft they were piloting crashed in the Deh Yak District of Ghazni Province. An investigation into the crash is underway, though harsh weather is suspected to have played a role.",1/2/2020,Magazine,Magazine,By Fahim Abed and Fatima Faizi,Afghan War Casualty Report: January 2020,NA,News,,,
4,"TOKYO — Carlos Ghosn was aided in his escape from Japan by an American security consultant who accompanied him on the flight out of the country, a person familiar with the matter said, while a Turkish charter jet company said on Friday that its planes were used illegally to pull off the plan.",1/3/2020,Business Day,Business,By Ben Dooley and David Yaffe-Bellany,Carlos Ghosn Was Aided in Flight From Japan by Former Green Beret,A Green Beret and a Turkish Jet Company Aided in a Stunning Escape,News,,,
5,You’re reading this week’s At War newsletter. Sign up here to get it delivered to your inbox every Friday. Email us at atwar@nytimes.com.,1/3/2020,Magazine,Magazine,By C. J. Chivers,A History of War in Six Drugs,NA,News,,,
6,"He changed the shape of the Syrian civil war and tightened Iran’s grip on Iraq. He was behind hundreds of American deaths in Iraq and waves of militia attacks against Israel. And for two decades, his every move lit up the communications networks — and fed the obsessions — of intelligence operatives across the Middle East. ",1/3/2020,Obituaries,Foreign,"By Tim Arango, Ronen Bergman and Ben Hubbard","Qassim Suleimani, Master of Iran’s Intrigue, Built a Shiite Axis of Power in Mideast",A Mastermind Of Iran’s Clout In the Mideast,Obituary (Obit),,,
7,"You may have heard an old crank in a big house ranting about appliances and unflushable toilets the other day. “Remember the dishwasher, you’d press it, boom — there’d be like an explosion,” he said, apropos of nothing. “Now you press it 12 times.”",1/3/2020,Opinion,OpEd,By Timothy Egan,The Case for a One-Term Joe,The Case for a One-Term President Biden,Op-Ed,,,
8,"Few tears will be shed in many parts of the world for Maj. Gen. Qassim Suleimani, whose Quds Force of the Islamic Revolutionary Guards Corps ruthlessly spread Iranian influence and contributed to the deaths of thousands of Syrians, Iraqis and Iranians, as well as hundreds of American servicemen in Iraq, over the past decade and a half.",1/3/2020,Opinion,OpEd,By Barbara Slavin,Qassim Suleimani’s Killing Will Unleash Chaos,NA,Op-Ed,,,
9,"The American strike in Baghdad that killed the Iranian general Qassim Suleimani thrust foreign policy to the center of the Democratic presidential race, drawing expressions of grave concern from the leading candidates and stoking a new debate in the party about the American military presence in the Middle East.",1/3/2020,U.S.,Politics,By Alexander Burns,Airstrike Pushes National Security to Forefront of 2020 Race,Airstrike Pushes Foreign Policy To Front of Presidential Race,News,,,
10,WASHINGTON — The top Senate Republican said on Friday that the administration would brief all senators next week on the United States drone strike ordered by President Trump that killed Iran’s top security commander. ,1/3/2020,U.S.,Washington,By Catie Edmondson,Congressional Leaders Call for Details After U.S. Airstrike on Suleimani,Majority Leader Says a Briefing for the Senate Is Scheduled for Next Week,News,,,
11,"BRUSSELS — How Iran will respond to the American assassination of Maj. Gen. Qassim Suleimani remains a matter of speculation, but one outcome seems almost certain: the end of Europe’s long effort to keep the 2015 Iranian nuclear deal alive.",1/3/2020,World,Foreign,By Steven Erlanger,"Suleimani’s Gone, and the Iran Nuclear Deal May Be Next",U.S. Strike May Have Dealt a Fatal Blow to Nuclear Deal,News,,,
12,Americans would be wise to brace for war with Iran.,1/4/2020,Opinion,OpEd,By Susan E. Rice,The Dire Consequences of Trump’s Suleimani Decision,The Fallout of Killing Suleimani,Op-Ed,,,
13,One day they may name a street after President Trump in Tehran. Why? Because Trump just ordered the assassination of possibly the dumbest man in Iran and the most overrated strategist in the Middle East: Maj. Gen. Qassim Suleimani.,1/4/2020,Opinion,OpEd,By Thomas L. Friedman,Trump Kills Iran’s Most Overrated Warrior,NA,Op-Ed,,,
