doc.id,text,date,section.name,news.desk,material
1,Quotation of the Day: Ex-SEAL Now Pitching Products and President,1/1/2020,Today’s Paper,Summary,Quote
2,Afghan War Casualty Report: January 2020,1/2/2020,Magazine,Magazine,News
3,The 50 TV Shows You Need to Watch This Winter,1/2/2020,Arts,Weekend,News
4,A History of War in Six Drugs,1/3/2020,Magazine,Magazine,News
5,Airstrike Pushes National Security to Forefront of 2020 Race,1/3/2020,U.S.,Politics,News
6,The Case for a One-Term Joe,1/3/2020,Opinion,OpEd,Op-Ed
7,Qassim Suleimani’s Killing Will Unleash Chaos,1/3/2020,Opinion,OpEd,Op-Ed
8,Congressional Leaders Call for Details After U.S. Airstrike on Suleimani,1/3/2020,U.S.,Washington,News
9,Carlos Ghosn Was Aided in Flight From Japan by Former Green Beret,1/3/2020,Business Day,Business,News
10,"Qassim Suleimani, Master of Iran’s Intrigue, Built a Shiite Axis of Power in Mideast",1/3/2020,Obituaries,Foreign,Obituary (Obit)
11,"Suleimani’s Gone, and the Iran Nuclear Deal May Be Next",1/3/2020,World,Foreign,News
12,Pence Links Suleimani to 9/11. The Public Record Doesn’t Back Him.,1/4/2020,U.S.,Washington,News
13,"In Era of Perpetual Conflict, a Volatile President Grabs Expanded Powers to Make War",1/4/2020,World,Washington,News Analysis
14,Antiwar Protesters Across U.S. Condemn Killing of Suleimani,1/4/2020,U.S.,Express,News
15,"Muslims Organize Huge Protests Across India, Challenging Modi",1/4/2020,World,Foreign,News
16,The Dire Consequences of Trump’s Suleimani Decision,1/4/2020,Opinion,OpEd,Op-Ed
17,Conflict With Iran Threatens Fight Against ISIS,1/4/2020,World,Foreign,News
18,Trump Kills Iran’s Most Overrated Warrior,1/4/2020,Opinion,OpEd,Op-Ed
19,"With Split Decision on Impeachment, Maine Democrat Risks a Dual Backlash",1/4/2020,U.S.,Washington,News
20,"Buttigieg’s Bet: After Iran Strike, Military Experience Matters Even More",1/5/2020,U.S.,Politics,News
21,The Long Battle With Iran,1/5/2020,Opinion,OpEd,Op-Ed
22,Outrage in Iran After Killing of Suleimani: Here’s What You Need to Know,1/5/2020,World,Foreign,News
23,"John Bass, U.S. Envoy to Afghanistan, Steps Down on Cusp of New Peace Deal",1/6/2020,U.S.,Washington,News
24,How U.S. Troops Are Preparing for the Worst in the Middle East,1/6/2020,World,Washington,News
25,Fox Host’s ‘America First’ Shift Makes an Exception for Trump’s Iran Strike,1/6/2020,U.S.,Washington,News
26,Defenders of History Take Aim at Trump’s Threat to Strike Iran’s Cultural Sites,1/6/2020,World,Washington,News
27,"Iran, Australia Fires, Taiwan election: Your Tuesday Briefing",1/6/2020,Briefing,NYTNow,briefing
28,The Day After War Begins in Iran,1/6/2020,Opinion,OpEd,Op-Ed
29,"Iran, Golden Globes, Harvey Weinstein: Your Monday Briefing",1/6/2020,Briefing,NYTNow,briefing
30,Will Hurd Wants to Improve the Republican Brand,1/6/2020,Magazine,Magazine,Interactive Feature
31,A Threat to Iran’s Rich Cultural Heritage,1/6/2020,Opinion,Letters,Letter
32,Why Did the U.S. Kill Suleimani?,1/7/2020,Opinion,OpEd,Op-Ed
33,He Fled Iran as a Child. Now He’s Commanding a U.S. Aircraft Carrier.,1/7/2020,U.S.,National,News
34,Targeting Cultural Sites in War Is Illegal. It’s Also Barbaric.,1/7/2020,Arts,Culture,News
35,"Pentagon Rules Out Striking Iranian Cultural Sites, Contradicting Trump",1/7/2020,U.S.,Washington,News
36,Just 700 Speak This Language (50 in the Same Brooklyn Building),1/7/2020,New York,Metro,News
37,Tucker Carlson Dissents as Right-Wing Media Weighs Trump’s Iran Strike,1/7/2020,Business Day,Business,News
38,Andrew Jackson in the Persian Gulf,1/7/2020,Opinion,OpEd,Op-Ed
39,"Iran Fires on U.S. Forces at 2 Bases in Iraq, Calling It ‘Fierce Revenge’",1/7/2020,World,Washington,News
40,"As Iran and U.S. Trade Blows, Afghanistan Sweats Between the 2 Powers",1/8/2020,World,Foreign,News
41,"At the Edge of a War, the U.S. and Iran Appear to Step Back",1/8/2020,World,Washington,News Analysis
42,"Missile Strike Damage Appears Limited, but Iran May Not Be Done",1/8/2020,World,Foreign,News
43,"Pressed for Details on Suleimani Strike, Trump Administration Gives Few",1/8/2020,U.S.,Washington,News
44,Trump Has a Bizarre Idea of Winning,1/8/2020,Opinion,OpEd,Op-Ed
45,Can Trump Make Foreign Policy a Democratic Campaign Issue?,1/8/2020,Opinion,Editorial,Editorial
46,Full Transcript: President Trump’s Address on Iran,1/8/2020,U.S.,Washington,News
47,The Ukraine Plane Crash in Iran: Black Boxes and Other Questions,1/8/2020,World,Express,News
48,Iran Plane Crash Victims Came From at Least Seven Countries,1/8/2020,World,Foreign,News
49,Suleimani’s Killing Creates New Uncertainty for Trump Campaign,1/8/2020,U.S.,Washington,News
50,"Did Trump and Iran Just Bury the Hatchet, or the Future?",1/8/2020,Opinion,OpEd,Op-Ed
51,Prince Harry and Meghan to ‘Step Back’ From Royal Duties in Extraordinary Retreat,1/8/2020,World,Foreign,News
52,Trump’s Inaccurate Statements About the Conflict With Iran,1/8/2020,U.S.,Washington,News
53,Confrontation in Congress Looms Over Iran Conflict,1/8/2020,World,Foreign,News
54,We Really Must Stop Starting Wars,1/9/2020,Opinion,OpEd,Op-Ed
55,Weary Veterans Exemplify a Nation Reluctant for War With Iran,1/9/2020,U.S.,Washington,News
56,"For Prince Harry and His Wife, Meghan, a Tricky Balancing Act",1/9/2020,World,Foreign,News
57,Trump’s Iran Strategy: A Cease-Fire Wrapped in a Strategic Muddle,1/9/2020,World,Washington,News Analysis
58,Mohammed bin Zayed’s Dark Vision of the Middle East’s Future,1/9/2020,Magazine,Magazine,News
59,"Prince Harry and Meghan Stepping Back, Explained",1/9/2020,Style,Styles,News
60,"In the Mideast, U.S. Foreign Policy Gone Awry",1/9/2020,Opinion,Letters,Letter
61,Bomb Blast Claimed by ISIS Kills at Least 15 in Pakistan Mosque Used by Taliban,1/10/2020,World,Foreign,News
62,"Army Denies Request by Soldier Pardoned by Trump, Setting Up Showdown",1/10/2020,U.S.,National,News
63,How the Public Feels About Trump’s Iran Strategy,1/10/2020,U.S.,Politics,News
64,The Case for Killing Qassim Suleimani,1/10/2020,Opinion,OpEd,Op-Ed
65,Who Signs Up to Fight? Makeup of U.S. Recruits Shows Glaring Disparity,1/10/2020,U.S.,National,News
66,Why Pete Buttigieg Has Made Religion Central to His Campaign,1/10/2020,U.S.,Politics,News
67,"In Plane Crash, a Day of Blame: Ukraine Weighs In and Iran Mulls Announcement",1/10/2020,World,Foreign,News
68,Two U.S. Service Members Killed in Afghanistan,1/11/2020,World,Foreign,News
69,Jet Crash in Iran Has Eerie Historical Parallel,1/11/2020,World,Express,News
70,A Growing U.S. Base Made This Afghan Town. Now It’s Dying.,1/12/2020,World,Foreign,News
71,"France Summons African Leaders, Threatening Troop Pullout",1/12/2020,World,Foreign,News
72,Trump’s Iran Strategy May Cost Him in 2020 Election,1/13/2020,U.S.,Politics,News
73,"Oscars, Iran, College Football: Your Monday Evening Briefing",1/13/2020,Briefing,NYTNow,briefing
74,"Iran Protests, Harry and Meghan, Australia Fires: Your Tuesday Briefing",1/13/2020,Briefing,NYTNow,briefing
75,"Iran Protests Rage Over Downed Jet, as Lawmakers Demand Accountability",1/13/2020,World,Foreign,News
76,Tom Steyer’s Top Priority Isn’t Climate Change,1/13/2020,Opinion,OpEd,Interactive Feature
77,"‘Tightrope: Americans Reaching for Hope,’ by Nicholas D. Kristof and Sheryl WuDunn: An Excerpt",1/13/2020,Books,BookReview,Review
78,Bernie Sanders Wants to Change Your Mind,1/13/2020,Opinion,OpEd,Interactive Feature
79,Plan to Cut U.S. Troops in West Africa Draws Criticism From Europe,1/14/2020,World,Foreign,News
80,6 Takeaways From the January 2020 Democratic Debate,1/14/2020,U.S.,Politics,News
81,6 Takeaways From the January 2020 Democratic Debate,1/14/2020,U.S.,Politics,News
82,Cory Booker Has More to Say,1/14/2020,Opinion,Editorial,Interactive Feature
83,An Aide’s View: Jimmy Carter as ‘the Anti-Trump’,1/14/2020,Opinion,Letters,Letter
