doc.id,text,date,section.name,news.desk,material
1,Quote of the Day,1/1/2020,Today’s Paper,Summary,Quote
2,NA,1/2/2020,Magazine,Magazine,News
3,50 TV Shows To Watch  This Winter,1/2/2020,Arts,Weekend,News
4,NA,1/3/2020,Magazine,Magazine,News
5,Airstrike Pushes Foreign Policy To Front of Presidential Race,1/3/2020,U.S.,Politics,News
6,The Case for a One-Term President Biden,1/3/2020,Opinion,OpEd,Op-Ed
7,NA,1/3/2020,Opinion,OpEd,Op-Ed
8,Majority Leader Says a Briefing for the Senate Is Scheduled for Next Week,1/3/2020,U.S.,Washington,News
9,A Green Beret and a Turkish Jet Company Aided in a Stunning Escape,1/3/2020,Business Day,Business,News
10,A Mastermind Of Iran’s Clout In the Mideast,1/3/2020,Obituaries,Foreign,Obituary (Obit)
11,U.S. Strike May Have Dealt a Fatal Blow to Nuclear Deal,1/3/2020,World,Foreign,News
12,NA,1/4/2020,U.S.,Washington,News
13,"More Powers, Few Limits And a Volatile President",1/4/2020,World,Washington,News Analysis
14,NA,1/4/2020,U.S.,Express,News
15,Huge Protests in India Keep Steadfast Pressure on Modi,1/4/2020,World,Foreign,News
16,The Fallout of Killing Suleimani,1/4/2020,Opinion,OpEd,Op-Ed
17,"As Tehran and Washington Stare Each Other Down, ISIS Stands to Gain",1/4/2020,World,Foreign,News
18,NA,1/4/2020,Opinion,OpEd,Op-Ed
19,"With Split Vote on Impeachment, Maine Democrat Risks Dual Backlash",1/4/2020,U.S.,Washington,News
20,"Buttigieg’s Bet: After Iran Strike, a Military Past Matters Even More",1/5/2020,U.S.,Politics,News
21,NA,1/5/2020,Opinion,OpEd,Op-Ed
22,NA,1/5/2020,World,Foreign,News
23,U.S. Envoy to Afghanistan Is Stepping Down,1/6/2020,U.S.,Washington,News
24,U.S. Troops Preparing for Worst in Mideast,1/6/2020,World,Washington,News
25,"Fox Host Is ‘America First,’ but Makes Exception for Trump’s Iran Strike",1/6/2020,U.S.,Washington,News
26,‘You Can’t Just Start Shooting Anything You Want’,1/6/2020,World,Washington,News
27,NA,1/6/2020,Briefing,NYTNow,briefing
28,NA,1/6/2020,Opinion,OpEd,Op-Ed
29,NA,1/6/2020,Briefing,NYTNow,briefing
30,Will Hurd Wants to Improve the Republican Brand,1/6/2020,Magazine,Magazine,Interactive Feature
31,A Threat to Iran’s Rich Cultural Heritage,1/6/2020,Opinion,Letters,Letter
32,NA,1/7/2020,Opinion,OpEd,Op-Ed
33,He Once Fled Iran. Now He  Leads an American Crew.,1/7/2020,U.S.,National,News
34,"In Targeting Cultural Sites, a Threat to Global Values",1/7/2020,Arts,Culture,News
35,Pentagon Rules Out Strikes on Antiquities,1/7/2020,U.S.,Washington,News
36,Carefully Nourishing a Dying Language,1/7/2020,New York,Metro,News
37,The Prospect of a New Military Conflict Divides Right-Wing Pundits,1/7/2020,Business Day,Business,News
38,NA,1/7/2020,Opinion,OpEd,Op-Ed
39,Iranians Attack U.S. Forces in Iraq in Act of Revenge,1/7/2020,World,Washington,News
40,Washington-Tehran Friction Casts Spotlight on Afghanistan’s Vulnerabilities,1/8/2020,World,Foreign,News
41,"While Threat of War  May Have Receded, It Hasn’t Disappeared",1/8/2020,World,Washington,News Analysis
42,NA,1/8/2020,World,Foreign,News
43,Democrats Press for Details on Threats Cited by Trump,1/8/2020,U.S.,Washington,News
44,Trump Has  A Bizarre Idea Of Winning,1/8/2020,Opinion,OpEd,Op-Ed
45,Foreign Policy Should Matter to Voters,1/8/2020,Opinion,Editorial,Editorial
46,U.S. ‘Is Ready to Embrace  Peace With All Who Seek It’,1/8/2020,U.S.,Washington,News
47,NA,1/8/2020,World,Express,News
48,Victims Included Citizens From at Least 7 Countries,1/8/2020,World,Foreign,News
49,Iranian’s Killing Delivers Jolt of Uncertainty to Trump Campaign Strategy,1/8/2020,U.S.,Washington,News
50,NA,1/8/2020,Opinion,OpEd,Op-Ed
51,"In Stunning Step, Duke and Duchess Seek New Title: Part-Timers",1/8/2020,World,Foreign,News
52,References In Address To 2013 Deal Had Holes,1/8/2020,U.S.,Washington,News
53,NA,1/8/2020,World,Foreign,News
54,NA,1/9/2020,Opinion,OpEd,Op-Ed
55,"Weary of War, and Wary of Embarking on Another in the Middle East",1/9/2020,U.S.,Washington,News
56,NA,1/9/2020,World,Foreign,News
57,A President’s Mixed Messages Unsettle More Than Reassure,1/9/2020,World,Washington,News Analysis
58,The M.B.Z. Moment,1/9/2020,Magazine,Magazine,News
59,A Guide To Grasping A ‘Step Back’,1/9/2020,Style,Styles,News
60,"In the Mideast, U.S. Foreign Policy Gone Awry",1/9/2020,Opinion,Letters,Letter
61,NA,1/10/2020,World,Foreign,News
62,Pardoned Soldier Is Denied Bid to Rejoin Green Berets,1/10/2020,U.S.,National,News
63,NA,1/10/2020,U.S.,Politics,News
64,NA,1/10/2020,Opinion,OpEd,Op-Ed
65,The Call to Serve Is Being Unevenly Embraced,1/10/2020,U.S.,National,News
66,Why Buttigieg Places Religion In the Spotlight,1/10/2020,U.S.,Politics,News
67,NA,1/10/2020,World,Foreign,News
68,2 U.S. Service Members Killed in Afghan Bomb Blast,1/11/2020,World,Foreign,News
69,NA,1/11/2020,World,Express,News
70,"As U.S. Reduces Its Afghan Presence, a Once-Vital Town Is Left With Scraps",1/12/2020,World,Foreign,News
71,"Citing Hostility to France in Africa, Macron Threatens a Pullout",1/12/2020,World,Foreign,News
72,Trump 2020? Moves on Iran Raise Doubts,1/13/2020,U.S.,Politics,News
73,NA,1/13/2020,Briefing,NYTNow,briefing
74,NA,1/13/2020,Briefing,NYTNow,briefing
75,"In Iran, Growing Indignation and a Push for Accountability",1/13/2020,World,Foreign,News
76,NA,1/13/2020,Opinion,OpEd,Interactive Feature
77,NA,1/13/2020,Books,BookReview,Review
78,NA,1/13/2020,Opinion,OpEd,Interactive Feature
79,Plan to Cut U.S. Troops In West Africa Is Criticized,1/14/2020,World,Foreign,News
80,NA,1/14/2020,U.S.,Politics,News
81,NA,1/14/2020,U.S.,Politics,News
82,NA,1/14/2020,Opinion,Editorial,Interactive Feature
83,An Aide’s View: Jimmy Carter as the ‘Anti-Trump’,1/14/2020,Opinion,Letters,Letter
84,Afghan Artists Risk Everything to Reject Silence,1/15/2020,Arts,Culture,News
85,NA,1/15/2020,U.S.,Washington,News
86,Jason Crow,1/15/2020,U.S.,Washington,News
87,Fact Check,1/15/2020,U.S.,Washington,News
88,NA,1/15/2020,The Learning Network,Learning,News
89,What’s On Wednesday,1/15/2020,Arts,Culture,News
90,"Candidates Critical of Trump on Iran, but Vague on What They’d Do",1/15/2020,U.S.,Politics,News
91,His Death Rattled World And Shook His U.S. City,1/15/2020,U.S.,National,News
92,NA,1/15/2020,U.S.,Politics,News
93,Australian Cuisine For a New Time,1/15/2020,Food,Dining,News
94,Trump’s Code Of Dishonor,1/15/2020,Opinion,OpEd,Op-Ed
95,Trump’s Code Of Dishonor,1/15/2020,Opinion,OpEd,Op-Ed
96,NA,1/15/2020,Magazine,Magazine,News
97,NA,1/15/2020,Opinion,Editorial,Interactive Feature
98,NA,1/15/2020,Opinion,Editorial,Interactive Feature
99,Taliban Offer to Reduce Violence While in Talks With U.S.,1/16/2020,World,Foreign,News
100,NA,1/16/2020,U.S.,Washington,News
101,NA,1/16/2020,Opinion,Editorial,Interactive Feature
102,NA,1/16/2020,Opinion,Editorial,Interactive Feature
103,Buenos Aires,1/16/2020,Travel,Travel,News
104,NA,1/17/2020,Briefing,NYTNow,briefing
105,NA,1/17/2020,Magazine,Magazine,News
106,"If There’s War, How Ready Is the U.S. to Fight?",1/17/2020,Sunday Review,OpEd,News Analysis
107,NA,1/17/2020,Opinion,Opinion,Interactive Feature
108,Soldiers Aren’t the Only Casualties of War,1/18/2020,Opinion,OpEd,Op-Ed
109,Starr Chamber: The Sequel,1/18/2020,Opinion,OpEd,Op-Ed
110,It Seems a Hard Exit  For Harry and Meghan Is Inescapable After All,1/19/2020,World,Foreign,News
111,"Finding a Bride Despite War, Blindness and Loss",1/20/2020,World,Foreign,News
112,Psychologist Who Used Waterboarding Will Testify at Guantánamo,1/20/2020,U.S.,Washington,News
113,NA,1/20/2020,Opinion,OpEd,Op-Ed
114,Amy Klobuchar and Elizabeth Warren Are Democrats’ Top Choices for President,1/20/2020,Opinion,OpEd,Interactive Feature
115,NA,1/21/2020,Briefing,NYTNow,briefing
116,A Day of Drama  At a 9/11 Hearing,1/21/2020,U.S.,Washington,News
117,"As Governor Gets Tough on Refugees, Texas City Puts Out Welcome Mat",1/21/2020,U.S.,National,News
118,"As Governor Gets Tough on Refugees, Texas City Puts Out Welcome Mat",1/21/2020,U.S.,National,News
119,NA,1/21/2020,Opinion,OpEd,Op-Ed
120,Deadly Attack on Kenya Base Underlines Limits of U.S. Force,1/22/2020,World,Washington,News
121,President Plays Down Troops’ Injury Symptoms,1/22/2020,World,Washington,News
122,NA,1/22/2020,U.S.,Express,News
123,"Core of Resolute Racists, Seeking Downfall of U.S.",1/22/2020,U.S.,National,News
124,Afghan Leader Says His Country Is Ready for a Major U.S. Troop Reduction,1/23/2020,World,Foreign,News
125,NA,1/23/2020,The Learning Network,Learning,News
126,Doctor Said He Told Supervisors They Had to See Waterboarding for Themselves,1/23/2020,U.S.,Washington,News
127,The Saudi Connection,1/23/2020,Magazine,Magazine,News
128,A New Migrant Tide? Not if Croatia Has Its Way,1/24/2020,World,Foreign,News
129,34 Troops Sustained Injuries To Brain in Iranian Attack,1/24/2020,World,Washington,News
130,NA,1/24/2020,Magazine,Magazine,News
131,NA,1/24/2020,World,Foreign,News
132,"Afghan Forces Kill a Girl, Then Her Grieving Father",1/25/2020,World,Foreign,News
133,Court Dispute Over Meaning Of ‘Torture’,1/25/2020,U.S.,Washington,News
134,Combating Limitations By Taking To the Road,1/26/2020,World,Foreign,News
135,A U.S. Military Plane Crashes in a Taliban-Controlled Area of Afghanistan,1/27/2020,World,Foreign,News
136,Pakistan Arrests Leader  Of Civil Rights Campaign,1/27/2020,World,Foreign,News
137,"John Bolton’s Account Upends Trump’s Denials, but Will It Upend Trump?",1/27/2020,U.S.,Washington,News
138,U.S. Officials  Find Remains  At Crash Site In Afghanistan,1/28/2020,U.S.,Washington,News
139,No Laughter Here,1/28/2020,Movies,Culture,Review
140,Testimony Describes the Role Of Doctors in Interrogations,1/28/2020,U.S.,Washington,News
141,The Unraveling,1/28/2020,Books,BookReview,Review
142,"Afghan Cities Turn Calm,  But Toll in Villages Is High",1/29/2020,World,Foreign,News
143,Views on Bolton Flip as Democrats Aim for His Testimony,1/29/2020,U.S.,Washington,News
144,The Disappeared,1/29/2020,Magazine,Magazine,News
145,Review Faults Elite Forces’ Combat Culture,1/30/2020,U.S.,National,News
146,House Votes to Repeal Law Allowing Use of Force in Iraq,1/30/2020,U.S.,Washington,News
147,Japan Seeks 3 Americans It Says Helped Ghosn Flee,1/30/2020,Business Day,Business,News
148,Offensive From Taliban Shows Limits Of U.S. Effort,1/31/2020,World,Washington,News
149,From Armed Struggle to Advocating Peaceful Protest Across the Muslim World,1/31/2020,World,Foreign,News
150,NA,1/31/2020,Magazine,Magazine,News
151,More Troops  Added to List Of Injured  In Iraq Attack,1/31/2020,World,Washington,News
152,Qaeda Chief For Yemen Was Target Of U.S. Strike,1/31/2020,World,Foreign,News
153,C.I.A. Interrogator Says Prisoners Adjusted Well,1/31/2020,U.S.,Washington,News
154,State Dept. Issues Warning On Traveling,1/31/2020,World,Express,News
155,It’s Now Up to Municipalities: Accept Refugees or Not?,2/1/2020,World,Washington,News
156,"Taliban Peace Talks  Resume, Pompeo Says",2/3/2020,U.S.,Foreign,News
157,Seeking an End To the ‘Forever War’,2/3/2020,U.S.,Washington,News Analysis
158,NA,2/3/2020,U.S.,Washington,News
159,The Lesson  Of Our  Rescue Dog,2/3/2020,Opinion,OpEd,Op-Ed
160,Boldly Offering Their Immigrant Song,2/3/2020,Theater,Culture,News
161,Blurring Boundaries,2/4/2020,Theater,Culture,Review
162,"Afghanistan Audits Votes,  Extending Election Crisis",2/5/2020,World,Foreign,News
163,NATO Eyes Troop Reductions in Afghanistan as the U.S. Draws Down,2/5/2020,World,Washington,News
164,U.S. Warns of Assault Threat in Spain,2/5/2020,World,Foreign,News
165,NA,2/5/2020,U.S.,Washington,News
