danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name,track_number,track_id,album_name,album_id,time_signature,duration_ms,key_name,mode_name,key_mode
0.593,0.509,9,-16.044,1,0.0513,0.611,8.56e-4,0.827,0.53,116.27,Cold Rain And Snow - Live 1982,1,1Gzd8R2897JtsdWqtTeVnB,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,394248,A,major,A major
0.404,0.651,2,-15.26,1,0.0689,0.67,0.027,0.979,0.613,132.572,CC Rider - Live 1982,2,5CyOpUGRyco3LB0dnZ7SOB,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,1,546191,D,major,D major
0.517,0.718,7,-15.504,1,0.0472,0.641,2.61e-4,0.399,0.663,124.229,Cumberland Blues - Live 1982,3,7KPZljz7xnCvdFe1azVaKw,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,326016,G,major,G major
0.497,0.52,2,-15.588,1,0.0489,0.656,3.72e-5,0.582,0.586,108.832,Far From Me - Live 1982,4,2q7l3fyy6P3JH01zym1NgD,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,277320,D,major,D major
0.323,0.559,9,-15.571,1,0.048,0.599,1.07e-4,0.689,0.636,167.025,Cassidy - Live 1982,5,2makttpihU2hK98qaVoyyZ,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,337488,A,major,A major
0.651,0.37,2,-15.451,1,0.0413,0.753,6.08e-6,0.423,0.487,114.595,Ramble On Rose - Live 1982,6,0hAmS1vb2GHOEpX6nFwBk4,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,445248,D,major,D major
0.484,0.377,4,-16.371,1,0.0517,0.412,1.2e-4,0.83,0.429,86.114,Looks Like Rain - Live 1982,7,4NBd4LrOhRf3c2DLK6P7jM,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,449831,E,major,E major
0.425,0.617,9,-13.092,1,0.0538,0.643,8.77e-5,0.867,0.584,80.114,Keep Your Day Job - Live 1982,8,1w41XKrPIfgTKpVjc8qQnL,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,343776,A,major,A major
0.177,0.624,5,-15.992,0,0.0505,0.699,0.926,0.672,0.0348,77.266,Midnight Mushroom Madness - Live 1982,9,5l6VoU1RIQG37kNsHCsd1H,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,181583,F,minor,F minor
0.479,0.636,4,-15.563,1,0.0342,0.549,1.8e-5,0.662,0.913,156.011,Sugar Magnolia - Live 1982,10,5pF6jgGFjHLzbsj5tIq1LN,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,358583,E,major,E major
0.388,0.424,4,-17.866,1,0.0509,0.613,4.06e-4,0.699,0.623,138.135,Sugaree - Live 1982,11,2CL8fZ3ielFF5i7OUAtANo,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,622560,E,major,E major
0.613,0.549,4,-17.061,1,0.05,0.678,7.13e-5,0.985,0.773,93.98,Man Smart (Woman Smarter) - Live 1982,12,5eCiz0x9f7Bj14rNlRZkQT,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,401760,E,major,E major
0.327,0.322,10,-19.348,1,0.0516,0.647,0,0.987,0.353,82.428,Ship Of Fools - Live 1982,13,43moHkYE5LcU07STspJhWk,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,480311,A#,major,A# major
0.334,0.421,7,-19.462,1,0.0499,0.222,0.00391,0.446,0.571,147.661,Playing In The Band - Live 1982,14,66M7Y2whIuoeUDoiAaqjht,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,3,558960,G,major,G major
0.433,0.551,6,-20.164,0,0.0383,0.0599,0.871,0.368,0.237,164.689,Drums - Live 1982,15,5G3lgVOCPMuSEqFqg74418,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,466920,F#,minor,F# minor
0.353,0.203,11,-25.318,0,0.0545,0.814,0.845,0.437,0.262,86.769,Space - Live 1982,16,2pixI4LjM3bAh9QEp5ZmYd,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,322631,B,minor,B minor
0.355,0.492,9,-17.071,1,0.164,0.42,0.0406,0.7,0.583,170.81,Not Fade Away - Live 1982,17,5LcNda41C8EaumB5h9HF47,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,627168,A,major,A major
0.473,0.493,2,-15.988,1,0.0375,0.536,9.35e-5,0.513,0.575,68.059,Deal - Live 1982,18,6nimh1lyU0Z893pFNrPxPB,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,387576,D,major,D major
0.502,0.554,11,-15.058,1,0.0621,0.528,1.12e-4,0.973,0.698,83.242,Sunshine Daydream - Live 1982,19,0QUR5gajCDUv6OpUR2GkeB,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,217440,B,major,B major
0.264,0.546,4,-31.924,1,0.213,0.707,0.831,0.998,0.028,126.265,Guest Introduction - Live 1982,20,6Xo3XMjzYX63oBu21py5Bx,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,3,83136,E,major,E major
0.437,0.603,9,-15.23,1,0.0616,0.501,7.97e-6,0.322,0.612,121.55,Hard To Handle - Live 1982,21,2vHMW0WxfhIZDG6LHedg24,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,300480,A,major,A major
0.541,0.551,5,-14.981,1,0.266,0.297,4.05e-6,0.981,0.373,116.013,Tell Mama - Live 1982,22,6oSwsGK5WqRnhwbcOZCjXk,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,282000,F,major,F major
0.418,0.462,4,-14.655,1,0.101,0.713,1.34e-5,0.809,0.565,103.168,Baby What Do You Want Me To Do - Live 1982,23,1399w9JQmpAS1y5oqGcLfX,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,497616,E,major,E major
0.535,0.579,0,-15.812,1,0.274,0.503,6.57e-5,0.825,0.367,110.077,Hard To Handle - Live 1982,24,63gM6bFw1CZpK4sGMtpqpn,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,344903,C,major,C major
0.465,0.492,2,-13.744,1,0.0428,0.329,5.64e-6,0.97,0.712,122.212,In The Midnight Hour - Live 1982,25,2di9wbYJJnUxqfOf5JqkNS,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,259847,D,major,D major
0.414,0.296,7,-16.244,1,0.037,0.748,3.92e-6,0.47,0.242,108.979,Brokedown Palace - Live 1982,26,0PTVFEykM7ryEpSBYswAhP,New Year's Eve '82 (Live),3YAidBiP3mJaeOV02C5LUm,4,340440,G,major,G major
0.466,0.629,7,-10.83,1,0.0967,0.471,3.65e-4,0.967,0.669,156.496,Bertha,1,0FPvRnXNx1L8sXV0bzfqGn,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,404933,G,major,G major
0.334,0.581,0,-12.198,1,0.117,0.389,3.85e-5,0.398,0.246,160.955,Beat It On Down The Line,2,0AEY707p2l2e4jJ8VYVisa,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,403826,C,major,C major
0.544,0.399,9,-11.227,1,0.0404,0.44,0.0094,0.966,0.346,122.749,It Hurts Me Too,3,5uDOHgqimrJIZNzyx6g30y,Shakedown New York,64JMuMdxks92vuh9BVoJAI,3,377973,A,major,A major
0.585,0.506,2,-12.832,1,0.0365,0.548,7.49e-4,0.523,0.506,113.601,Me & Bobby McGee,4,4mzzDGseNxxCuKGfJJugVD,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,437066,D,major,D major
0.503,0.441,9,-13.844,1,0.0498,0.371,0,0.172,0.481,141.862,Dire Wolf,5,32jTe04q1bKTjZTdZsSn2H,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,389760,A,major,A major
0.431,0.593,9,-13.335,1,0.12,0.371,7.84e-6,0.52,0.858,175.579,Oh Boy,6,3TJ3sHtlHmuRi7VmqyBDfg,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,179066,A,major,A major
0.69,0.498,0,-11.067,1,0.0394,0.396,1.09e-5,0.292,0.521,87.893,I'm A Hog For You Baby,7,0M1TOBlcDPKnJudkEajKSQ,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,258866,C,major,C major
0.63,0.524,7,-12.342,1,0.0613,0.217,1.24e-4,0.974,0.48,105.385,In The Midnight Hour,8,6dRgkSAhF4fpf7mIe8rl6c,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,617466,G,major,G major
0.451,0.575,2,-11.848,1,0.324,0.514,0,0.626,0.649,189.305,Mama Tried,9,4B4pZAExYMuJETUxw5Ip5i,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,190066,D,major,D major
0.562,0.746,7,-10.451,1,0.0401,0.133,4.86e-4,0.728,0.864,111.428,Cumberland Blues,10,0GdcdXmYLAMLOtCB0K4Be4,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,286040,G,major,G major
0.635,0.622,0,-9.82,1,0.0446,0.15,0,0.895,0.566,97.476,Casey Jones,11,5qe6TbzyOjdjpMpciTrmSk,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,343400,C,major,C major
0.408,0.716,4,-7.803,0,0.0474,0.263,1.58e-5,0.708,0.817,150.698,Greatest Story Ever Told/ Johnny B. Goode,12,0IGAY7aGOrAdxcJKlf6bqi,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,409866,E,minor,E minor
0.561,0.419,7,-12.282,1,0.0415,0.207,1.25e-6,0.693,0.364,114.7,Loser,1,1Upe9CoB2IjA5YYZxjFL68,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,386733,G,major,G major
0.536,0.609,0,-11.43,1,0.0589,0.0829,0.0122,0.928,0.582,113.179,Good Lovin',2,5mul49zzUxRDxja6bKEArU,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,1391426,C,major,C major
0.431,0.726,4,-9.42,1,0.0527,0.403,0,0.713,0.725,151.081,Sugar Magnolia,3,5a2LfulcWq8zLMpSDAWr0X,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,376666,E,major,E major
0.423,0.513,4,-13.066,1,0.0638,0.467,0.00492,0.553,0.579,160.149,Goin' Down The Road Feeling Bad/Not Fade Away,4,70OoAhGlPg0GakJ9BDsD2I,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,332266,E,major,E major
0.473,0.769,9,-7.969,1,0.0527,0.252,2.19e-6,0.941,0.653,122.678,Truckin',5,5fbTxkB1aXnhOyAHzth0nO,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,502066,A,major,A major
0.655,0.455,9,-12.142,1,0.0388,0.324,0.0461,0.348,0.532,123.437,Big Boss Man,6,1G4Mp3nYBxFDy5BoRYF4DP,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,307706,A,major,A major
0.506,0.642,7,-9.422,1,0.0386,0.191,0.00105,0.914,0.658,91.726,China Cat Sunflower/I Know You Rider,7,35vfdlbkEGMIql6SanXZSA,Shakedown New York,64JMuMdxks92vuh9BVoJAI,4,627133,G,major,G major
0.522,0.475,7,-17.963,1,0.0395,0.629,0.0878,0.733,0.832,167.845,"Bertha - Live at the Fox Theatre, St. Louis, MO 12/10/71",1,1vlczLOPUZt62oywMIzjGF,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,391773,G,major,G major
0.672,0.59,2,-16.067,1,0.0495,0.732,0.293,0.176,0.623,110.389,"Me And My Uncle - Live at the Fox Theatre, St. Louis, MO 12/10/71",2,4DZbqYM3yhaFgE97rok59T,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,228122,D,major,D major
0.64,0.389,2,-16.355,1,0.056,0.765,0.165,0.108,0.427,97.055,"Mr. Charlie - Live at the Fox Theatre, St. Louis, MO 12/10/71",3,2PYpMP79kvNhozbkZ5lo7c,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0DS10mXgRXMkkQSxGpfADQ,4,264674,D,major,D major
