doc.id,headline.main,date,section.name
1,Can Trump Make Foreign Policy a Democratic Campaign Issue?,1/8/2020,Opinion
2,Serving in a Twenty-Year War,9/8/2021,U.S.
3,"Suleimani’s Gone, and the Iran Nuclear Deal May Be Next",1/3/2020,World
4,"In Era of Perpetual Conflict, a Volatile President Grabs Expanded Powers to Make War",1/4/2020,World
5,"Muslims Organize Huge Protests Across India, Challenging Modi",1/4/2020,World
6,A War Without Winners Winds Down,2/29/2020,Opinion
7,Conflict With Iran Threatens Fight Against ISIS,1/4/2020,World
8,Hidden Pentagon Records Reveal Patterns of Failure in Deadly Airstrikes,12/18/2021,U.S.
9,Trump’s Inaccurate Statements About the Conflict With Iran,1/8/2020,U.S.
10,Trump Made Inaccurate Claims About the Military During His West Point Speech,6/13/2020,U.S.
11,How U.S. Troops Are Preparing for the Worst in the Middle East,1/6/2020,World
12,Biden’s Inaccurate Claims in Defending Afghanistan Withdrawal,8/20/2021,U.S.
13,Defenders of History Take Aim at Trump’s Threat to Strike Iran’s Cultural Sites,1/6/2020,World
14,Trump Isn’t Telling Us Everything About His Deal With the Taliban,3/10/2020,Opinion
15,‘Lost Between Borders’: Afghan Women on the Lives They Left Behind,9/14/2021,U.S.
16,Airstrike Pushes National Security to Forefront of 2020 Race,1/3/2020,U.S.
17,"Iran Fires on U.S. Forces at 2 Bases in Iraq, Calling It ‘Fierce Revenge’",1/7/2020,World
18,"As Iran and U.S. Trade Blows, Afghanistan Sweats Between the 2 Powers",1/8/2020,World
19,"At the Edge of a War, the U.S. and Iran Appear to Step Back",1/8/2020,World
20,Congressional Leaders Call for Details After U.S. Airstrike on Suleimani,1/3/2020,U.S.
21,"With Split Decision on Impeachment, Maine Democrat Risks a Dual Backlash",1/4/2020,U.S.
22,Iran Plane Crash Victims Came From at Least Seven Countries,1/8/2020,World
23,"Buttigieg’s Bet: After Iran Strike, Military Experience Matters Even More",1/5/2020,U.S.
24,Prince Harry and Meghan to ‘Step Back’ From Royal Duties in Extraordinary Retreat,1/8/2020,World
25,"John Bass, U.S. Envoy to Afghanistan, Steps Down on Cusp of New Peace Deal",1/6/2020,U.S.
26,Fox Host’s ‘America First’ Shift Makes an Exception for Trump’s Iran Strike,1/6/2020,U.S.
27,Trump’s Iran Strategy: A Cease-Fire Wrapped in a Strategic Muddle,1/9/2020,World
28,Mohammed bin Zayed’s Dark Vision of the Middle East’s Future,1/9/2020,Magazine
29,He Fled Iran as a Child. Now He’s Commanding a U.S. Aircraft Carrier.,1/7/2020,U.S.
30,"Pentagon Rules Out Striking Iranian Cultural Sites, Contradicting Trump",1/7/2020,U.S.
31,"Pressed for Details on Suleimani Strike, Trump Administration Gives Few",1/8/2020,U.S.
32,Two U.S. Service Members Killed in Afghanistan,1/11/2020,World
33,A Growing U.S. Base Made This Afghan Town. Now It’s Dying.,1/12/2020,World
34,Full Transcript: President Trump’s Address on Iran,1/8/2020,U.S.
35,"Iran Protests Rage Over Downed Jet, as Lawmakers Demand Accountability",1/13/2020,World
36,Plan to Cut U.S. Troops in West Africa Draws Criticism From Europe,1/14/2020,World
37,"No, Your FOIA Request Cannot Wait ‘Until This Emergency Is Over’",5/12/2020,Opinion
38,Suleimani’s Killing Creates New Uncertainty for Trump Campaign,1/8/2020,U.S.
39,Don’t Let Russian Meddling Derail Afghanistan Withdrawal Plans,7/7/2020,Opinion
40,Taliban Offer to Reduce Violence in Afghanistan Ahead of Deal With U.S.,1/16/2020,World
41,Trump Says the U.S. Is Ready for War. Not All His Troops Are So Sure.,1/17/2020,Sunday Review
42,Weary Veterans Exemplify a Nation Reluctant for War With Iran,1/9/2020,U.S.
43,"Army Denies Request by Soldier Pardoned by Trump, Setting Up Showdown",1/10/2020,U.S.
44,Who Signs Up to Fight? Makeup of U.S. Recruits Shows Glaring Disparity,1/10/2020,U.S.
45,Trump Dismisses Troops’ Possible Brain Injuries as ‘Headaches’,1/22/2020,World
46,Why Pete Buttigieg Has Made Religion Central to His Campaign,1/10/2020,U.S.
47,"Afghanistan Is Ready for Major U.S. Troop Reduction, Ghani Says",1/23/2020,World
48,Trump’s Iran Strategy May Cost Him in 2020 Election,1/13/2020,U.S.
49,The Saudi Connection: Inside the 9/11 Case That Divided the F.B.I.,1/23/2020,Magazine
50,Europe’s Migration Crisis Has Ebbed. Croatia Wants to Keep It That Way.,1/24/2020,World
51,"34 Troops Have Brain Injuries From Iranian Missile Strike, Pentagon Says",1/24/2020,World
52,Girl and Her Father Are Killed by Afghan Forces,1/25/2020,World
53,Psychologist Who Waterboarded for C.I.A. to Testify at Guantánamo,1/20/2020,U.S.
54,"After Losing His Legs to a Bomb, Afghan Veteran Is on a New Journey",1/26/2020,World
55,"U.S. Military Plane Crashed in Afghanistan, Officials Confirm",1/27/2020,World
56,Architect of C.I.A. Interrogation Program Testifies at Guantánamo Bay,1/21/2020,U.S.
57,Why This Texas City Is Saying Yes to Refugees While the Governor Says No,1/21/2020,U.S.
58,A New Face of White Supremacy: Plots Expose Danger of the ‘Base’,1/22/2020,U.S.
59,"Despite Calm in Afghan Cities, War in Villages Kills Dozens Daily",1/29/2020,World
60,He Waterboarded a Detainee. Then He Had to Get the C.I.A. to Let Him Stop.,1/23/2020,U.S.
61,Argument Erupts in Guantánamo Court Over Use of the Term ‘Torture’,1/25/2020,U.S.
62,Officials Recover Remains at U.S. Military Plane Crash Site in Afghanistan,1/28/2020,U.S.
63,Taliban’s Continued Attacks Show Limits of U.S. Strategy in Afghanistan,1/31/2020,World
64,"From Armed Struggle to Peaceful Protest, a Road Still to Travel",1/31/2020,World
65,More American Troops Sustain Brain Injuries From Iran Missile Strike in Iraq,1/31/2020,World
66,U.S. Strikes at Leader of Qaeda in Yemen,1/31/2020,World
67,Guantánamo Testimony Exposes Role of Doctors in C.I.A. Interrogations,1/28/2020,U.S.
68,State Department Warns Against Traveling to China Amid Coronavirus Outbreak,1/31/2020,World
69,"Trump Threw Weighty Refugee Decisions to Local Government, With Painful Results",2/1/2020,World
70,"For John Bolton, an ‘Upside-Down World’ After Trump Revelation",1/29/2020,U.S.
71,"Elite U.S. Forces Critique Themselves: Overused, Underled, Raid-Obsessed",1/30/2020,U.S.
72,How to End a Forever War,12/1/2020,Opinion
73,"Afghan Votes Will Be Audited, Extending Monthslong Election Crisis",2/5/2020,World
74,NATO Eyes Troop Reductions in Afghanistan as U.S. Draws Down,2/5/2020,World
75,House Votes to Repeal 2002 Military Authorization in Bid to Rein in Trump on Iran,1/30/2020,U.S.
76,Architect of C.I.A. Torture Program Testifies Prisoners Acted Well Adjusted,1/31/2020,U.S.
77,"Taliban Militant Flees Prison, Claiming Deal With Pakistani Security Forces",2/7/2020,World
78,The Scenic Isle Where the World’s Chaos Comes Home to Roost,2/7/2020,World
79,Karen Pierce Is Named U.K. Ambassador to U.S.,2/7/2020,World
80,Two American Soldiers Killed in Shootout With Afghan Forces,2/8/2020,World
81,They Fight Suicide Bombers. But Can Afghan Police Fight Crime?,2/8/2020,World
82,"Violence Must Stop Before Afghanistan Peace Agreement, Pompeo Says",2/3/2020,U.S.
83,The Fighter Jet That’s Too Pricey to Fail,3/12/2021,Opinion
84,"More Than 100 Troops Have Brain Injuries From Iran Missile Strike, Pentagon Says",2/10/2020,World
85,Trump Claims End of ‘American Decline’ While Avoiding Mention of Impeachment,2/5/2020,U.S.
86,"Trump Gives Conditional Go Ahead on Peace Deal With Taliban, Officials Say",2/11/2020,World
87,Why the Past Haunts Talks With Iran,4/23/2021,Opinion
88,A U.S.-Taliban Deal Hinges on Reducing Violence. It Might Work Like This.,2/13/2020,World
89,U.S. Faces Tough ‘Great Game’ Against China in Central Asia and Beyond,2/13/2020,World
90,Should Young Americans Be Required to Give a Year of Service?,5/1/2021,Opinion
91,Killing of Terrorist Leader in Yemen Is Latest Blow to Qaeda Affiliate,2/10/2020,U.S.
92,"U.S. and Taliban Agree to Reduce Violence, in First Step To Peace Deal",2/14/2020,World
93,"Democrats Get the Attention, but Trump Aims to Put New Hampshire in Play",2/11/2020,U.S.
94,How Months of Miscalculation Led the U.S. and Iran to the Brink of War,2/13/2020,U.S.
95,"‘The West Is Winning,’ Pompeo Said. The West Wasn’t Buying It.",2/15/2020,World
96,One Way Forward on Iran: A Nuclear-Weapons-Free Persian Gulf,6/12/2021,Opinion
97,Brain Injuries Are Common in Battle. The Military Has No Reliable Test for Them.,2/15/2020,U.S.
98,"As Afghan Soldier Kills 2 Americans, Peace Talks Forge Ahead",2/17/2020,World
99,A Scholar of Democracy Gets a 2020 Lab for His Ideas,2/15/2020,U.S.
100,"Ghani Named Afghan Election Winner. His Opponent Claims Victory, Too.",2/18/2020,World
101,The Tragedy of Afghanistan,8/15/2021,Opinion
102,"As Homelessness Plagues Los Angeles, Success Comes for Veterans",2/16/2020,U.S.
103,Countdown Begins to Possible End of U.S. War in Afghanistan,2/21/2020,World
104,"Iran Remains on Antiterrorism Blacklist, Continuing Sanctions",2/21/2020,World
105,‘Politics of Hate’ Takes a Toll in Germany Well Beyond Immigrants,2/21/2020,World
106,‘Recipe for a Massive Viral Outbreak’: Iran Emerges as a Worldwide Threat,2/24/2020,World
107,"Spreading Across Continents, a Lethal Virus Tests a Fraying Global Order",2/24/2020,World
108,"Spreading Across Continents, a Lethal Virus Tests a Fraying Global Order",2/24/2020,World
109,"John Rood, Top Defense Official, Latest to Be Ousted After Impeachment Saga",2/19/2020,U.S.
110,Biden Adds a Claim to His Biography: An Arrest in South Africa,2/21/2020,U.S.
111,"Scarred and Weary, an Afghan Force Wonders: What Is Peace?",2/27/2020,World
112,Iran Vice President Is One of 7 Officials to Contract Coronavirus,2/27/2020,World
113,U.K. Court Blocks Heathrow Airport Expansion on Environmental Grounds,2/27/2020,World
114,"Turkey, Pressing E.U. for Help in Syria, Threatens to Open Borders to Refugees",2/28/2020,World
115,Life Inside an Afghan Women’s Prison,2/29/2020,World
116,Taliban and U.S. Strike Deal to Withdraw American Troops From Afghanistan,2/29/2020,World
117,"After 18 Years, Is This Afghan Peace, or Just a Way Out?",2/29/2020,World
118,4 Takeaways From the U.S. Deal With the Taliban,2/29/2020,World
119,Afghanistan War Enters New Stage as U.S. Military Prepares to Exit,3/1/2020,World
120,Why Afghanistan Became an Invisible War,3/1/2020,World
121,Afghan Peace Plan Faces Its First Roadblock: Releasing Taliban Prisoners,3/1/2020,World
122,U.S. Announces Troop Withdrawal in Afghanistan as Respite From Violence Ends,3/2/2020,World
123,"At Center of Taliban Deal, a U.S. Envoy Who Made It Personal",3/2/2020,World
124,Trump Speaks With a Taliban Leader,3/3/2020,World
125,Taliban Ramp Up Attacks on Afghans After Trump Says ‘No Violence’,3/4/2020,World
126,"A Balancing Act for Europe: Stop the Migrants, Support Greece, Assuage Turkey",3/4/2020,World
127,"After Tours in Afghanistan, U.S. Veterans Weigh Peace With the Taliban",3/5/2020,Magazine
128,"I.C.C. Allows Afghanistan War Crimes Inquiry to Proceed, Angering U.S.",3/5/2020,World
129,"From the Afghan Peace Deal, a Weak and Pliable Neighbor for Pakistan",3/5/2020,World
130,Violence in India Threatens Its Global Ambitions,3/5/2020,World
131,Gunmen Kill Dozens at Event Attended by Afghan Politicians,3/6/2020,World
132,Vigilantes in Greece Say ‘No More’ to Migrants,3/7/2020,World
133,Vigilantes in Greece Say ‘No More’ to Migrants,3/7/2020,World
134,First Woman Set to Pass Special Forces Training and Join Green Berets,2/25/2020,U.S.
135,A Secret Accord With the Taliban: When and How the U.S. Would Leave Afghanistan,3/8/2020,World
136,An Interrogation Program Worked Out on the Fly,2/26/2020,U.S.
137,"Ghani Takes the Oath of Afghan President. His Rival Does, Too.",3/9/2020,World
138,Afghan President Orders Taliban Prisoner Release,3/10/2020,World
139,"In the Mideast, U.S. Foreign Policy Gone Awry",1/9/2020,Opinion
140,Erik Prince Recruits Ex-Spies to Help Infiltrate Liberal Groups,3/7/2020,U.S.
141,How the World’s Largest Coronavirus Outbreaks Are Growing,3/12/2020,World
142,Judge Orders Medical Panel to Evaluate Tortured Guantánamo Prisoner,3/8/2020,U.S.
143,"E.U. to Offer 2,000 Euros to Migrants in Greece to Go Home",3/13/2020,World
144,Lawmakers Delay Promotion of Officer Involved in Deadly Niger Ambush,3/14/2020,World
145,"Pakistan Builds Border Fence, Limiting Militants and Families Alike",3/15/2020,World
146,"House Sends Trump Bill to Restrict War Powers on Iran, Setting Up Veto",3/11/2020,U.S.
147,White House Pushes to Recover Americans Held Overseas,3/13/2020,U.S.
148,From Victims to Superwomen: Honoring Female Strength in Afghanistan,3/19/2020,World
149,The Terrorist Who Got Away,3/19/2020,Magazine
150,"Taliban Kill 24 Afghan Troops, With Inside Help",3/20/2020,World
151,"As Pandemic Grows, U.S. Warns Americans Not to Travel Abroad",3/19/2020,U.S.
152,Pompeo Cuts $1 Billion in Afghan Aid as 2 Leaders Reject Push for Unity,3/23/2020,World
153,"For Afghanistan Already on Brink, U.S. Aid Cut Is a Big Shove",3/24/2020,World
