"","bp_ig1"
"Eric Andersen",-0.280215304858385
"John Barlow",-0.316628182249886
"Bob Bralove",-0.220645502318408
"Andrew Charles",0.082202680960513
"John Dawson",0.0970806508219701
"Willie Dixon",-0.43204347085093
"Jerry Garcia",-0.255141684458724
"Donna Godchaux",1.2303883919914
"Keith Godchaux",1.17992240545345
"Gerrit Graham",-0.280215304858385
"Frank Guida",3.07056606810843
"Mickey Hart",0.153301943500146
"Bruce Hornsby",0
"Robert Hunter",-0.17351421597784
"Bill Kreutzmann",-0.701154751122665
"Ned Lagin",0.082202680960513
"Phil Lesh",-0.180665594668754
"Peter Monk",0.082202680960513
"Brent Mydland",0.526513216722925
"Dave Parker",-0.891440783849994
"Robert Petersen",1.11819221619424
"Pigpen",-0.525736551258534
"Joe Royster",3.07056606810843
"Rob Wasserman",-0.414696441621812
"Bob Weir",-0.543083580487652
"Vince Welnick",-0.0795357452749312
